,responsibilities(Должностные обязанности),requirements(Требования к соискателю),terms(Условия),notes(Примечания)
921,"Работа на севере города!!! Рекламно-производственной компании требуется сборщик –монтажник вывесок. Требования к кандидату: аккуратность, пунктуальность, ответственность. ЖЕЛАТЕЛЕН: Опыт работы в рекламном производстве на участке сборки световых вывесок (изготовление объемных световых букв, подключение электрики, подготовка металлоконструкций, накатка пленки и т.п.); опыт монтажных работ.  Производство располагается в 10-ти минутах от ст.м Пр. Просвещения/Озерки (автобусы и маршрутки). Обустроенное теплое производство.  Комфортная эмоциональная обстановка в коллективе. График Пн-Пт, с 10 до 19 часов с перерывом на обед. Выплата З.П. - 2 раза в месяц. Зарплата - от  60 000 рублей. Дополнительно оплачиваются переработки и командировочные.","Требования к кандидату: аккуратность, пунктуальность, ответственность.","График Пн-Пт, с 10 до 19 часов с перерывом на обед. Выплата З.П. - 2 раза в месяц. Зарплата - от  60 000 рублей. Дополнительно оплачиваются переработки и командировочные.",
922,"В компанию-дистрибьютор KONE- мирового лидера в разработке комплексных инновационных решений в сфере проектирования, монтажа, модернизации и технического обслуживания лифтов и эскалаторов, объявляет набор на вакансию Монтажник электрических подъемников (лифтов), а также ученик монтажника. В обязанности искомого работника на вакантное место &quot;Монтажник электрических подъемников (лифтов)&quot; входит следующее: Выполнение работ по монтажу лифтов и эскалаторов Требования к искомому работнику на должность &quot; Монтажник электрических подъемников (лифтов) следующие: Техническая грамотность. Опыт работы не обязателен. Желание зарабатывать. Условия труда: Работа на строительных площадках Официальное трудоустройство по ТК РФ. Сдельная оплата труда Своевременная выплата заработной платы Обеспечение рабочей одеждой и инструментом. Хорошее медицинское обслуживание. Возможности профессионального роста ОБУЧЕНИЕ за счет компании.",Опыт работы не обязателен.,Сдельная оплата труда Своевременная выплата заработной платы Обеспечение рабочей одеждой и инструментом. Хорошее медицинское обслуживание. Возможности профессионального роста ОБУЧЕНИЕ за счет компании.,
923,"ООО &quot;Автовышка82&quot; на постоянную работу требуется :  1) Машинист автокран на Китайский Автокран XCMG 25тонн( новый кран). Опыт работа на Китайском кране обязателен. Возможна работа на Японском кране Като работа в городе Симферополе , работаем ТОЛЬКО ПО КРЫМУ.  2) Машинист на японскую автовышку Isuzu elf 1997г.в установка Aichi cn140 ( 15 метров). Обязанности: Работа и обслуживание техники.",Опыт работа на Китайском кране обязателен.,,
924,"Описание работодателя: Подрядная организация на участке открытых горных работ (Бачатский уголный разрез)  Обязанности: - Управление автогрейдером John Deere 872G; - Содержание автодорог на участке в условиях открытых горных работ.  Требования: - Наличие удостоверения тракториста – машиниста с категорией D;  - Удостоверение (допуск) на право управления автогрейдером John Deere 872G;   - Опыт работы от 2 лет.  Условия по рабочим специальностям:   - Официальное трудоустройство согласно ТК РФ;   - График работы: день/ночь/48;   - Работа на Бачатском угольном разрезе;   - Своевременная выплата заработной платы  2 раза в месяц;    - Доставка до участка служебным транспортом из Новокузнецка, Киселевска, Прокопьевска;    - Мед. комиссия за счет работодателя;     Выдача спец. одежды и индивидуальных средств защиты при трудоустройстве.",- Удостоверение (допуск) на право управления автогрейдером John Deere 872G; - Опыт работы от 2 лет.,"- График работы: день/ночь/48; - Работа на Бачатском угольном разрезе; - Своевременная выплата заработной платы  2 раза в месяц; - Доставка до участка служебным транспортом из Новокузнецка, Киселевска, Прокопьевска; - Мед. комиссия за счет работодателя; Выдача спец. одежды и индивидуальных средств защиты при трудоустройстве.",
925,"Описание работодателя: Автотехцентр &quot;АвтоТехнология&quot;. Требования: ответственность, умение работать и желание зарабатывать Обязанности: диагностика и ремонт легковых и среднетоннажных авто. Условия: оплата сдельная (от 40 000р.), подробности при собеседовании.","Требования: ответственность, умение работать и желание зарабатывать Обязанности: диагностика и ремонт легковых и среднетоннажных авто.","Условия: оплата сдельная (от 40 000р.), подробности при собеседовании.",
926,"Работа в Челябинске  👍 СРОЧНО требуется Маляр по металлу  ❗Количество мест ограниченно.  🟢 Работа не сложная, берём без опыта (обучаем)  ❗❗ Мы - пpямой рaботoдатeль и поэтому гарантируем своевременную оплату труда!  ☎️ Звоните нам с 08:00 до 21:00 ЕЖЕДНЕВНО!  🌌 Жмите откликнуться, отвечаем КРУГЛОСУТОЧНО!  🔴ЕСЛИ ВЫ ВИДИТЕ ЭТО ОБЪЯВЛЕНИЕ, ТО ВАКАНСИЯ АКТУАЛЬНА  ❤️Добавьте его в ИЗБРАННОЕ, чтобы не потерять❤️  👍 УСЛОВИЯ:  - График работы: 5/2  - Стоимость СМЕНЫ 2000 рублей  - Корпоративный транспорт,  - Зарплата без задержек,  - Еженедельные выплаты,  - Дружный коллектив,  - Лояльное руководство,  - Прямой работодатель  👍 ТРЕБОВАНИЯ:  - Умение работать в коллективе.  - Граждане РФ  ☎️ Заинтересовались?  ДЛЯ ОТКЛИКА ЗВОНИТЕ ИЛИ ПИШИТЕ  Оставьте ваш номер в чате! Мы перезвоним максимально быстро!  Работа в Челябинске, вакансии Челябинск, вакансии от прямого работодателя, работа в России, работа в Челябинске, работа Челябинск свежие, работа сегодня Челябинск, работа в Челябинске, авито работа Челябинск, работа Челябинск вакансии, официальная работа Челябинск, ищу работу в Челябинске, работа в Челябинске без опыта работы, работа в Челябинске 2023, ищу работу в Челябинске, работа в Челябинске свежие вакансии, найти работу в Челябинске, авито работа Челябинск свежие, сайты работы в Челябинске, поиск работы в Челябинске, работа в Челябинске свежие вакансии&quot;",,"🔴ЕСЛИ ВЫ ВИДИТЕ ЭТО ОБЪЯВЛЕНИЕ, ТО ВАКАНСИЯ АКТУАЛЬНА  ❤️Добавьте его в ИЗБРАННОЕ, чтобы не потерять❤️  👍 УСЛОВИЯ:  - График работы: 5/2  - Стоимость СМЕНЫ 2000 рублей  - Корпоративный транспорт,  - Зарплата без задержек,  - Еженедельные выплаты,  - Дружный коллектив,  - Лояльное руководство,  - Прямой работодатель  👍 ТРЕБОВАНИЯ:  - Умение работать в коллективе. - Граждане РФ  ☎️ Заинтересовались? ДЛЯ ОТКЛИКА ЗВОНИТЕ ИЛИ ПИШИТЕ  Оставьте ваш номер в чате!",
927,"Обязанности:  — Контроль работы электрооборудования; — Ведение технической документации; — Взаимодействие с проверяющими органами заказчика, контроль за работой электромонтера; — Составление заявок на материал, опыт работы в электроустановках напряжением 10/0,4 кВ  Требования:  — Опыт работы с аналогичным функционалом; — Высшее / среднее профессиональное электротехническое образование; — Опытный пользователь excel, visio.  Условия:  — Работа вахтовым методом 60/60, 60/30 на Мессояхском месторождении, ЯНАО; — Трудоустройство через г. Новый Уренгой, ул. Индустриальная, 6 в; — Проживание в вахтовом посёлке (баня, прачечная, медпункт, спорт зал); — Оплата проезда к месту выполнения работ и обратно за счет работодателя; — Официальное трудоустройство (больничный, отпуск, подарки детям к Новому году).","— Высшее / среднее профессиональное электротехническое образование; — Опытный пользователь excel, visio.","— Трудоустройство через г. Новый Уренгой, ул. Индустриальная, 6 в; — Проживание в вахтовом посёлке (баня, прачечная, медпункт, спорт зал); — Оплата проезда к месту выполнения работ и обратно за счет работодателя; — Официальное трудоустройство (больничный, отпуск, подарки детям к Новому году).",
928,"Компания, которая занимается газифицированием улиц приглашает на работу монтажников ПНД труб. Место работы Свердловская область, г. Тавда. Над землей газопровод металлический и отводы от него тоже, под землей труба ПНД. Обязателен опыт работы именно с такого формата трубами. Нужно будет монтировать трубы, фиксировать их, работать в паре с электрогазосварщиками ПНД труб.  Кого мы ищем: - ответственных, с опытом монтажа ПНД труб  Что мы предлагаем: - График 10 часовая смена с 08-09 утра 6/1; - зарплата 2900 руб за смену; - выплаты по зарплате производятся согласно табелю: первый месяц - после 7 смены, после 14 смены; после 28 смены, далее 2 раза в месяц выплаты согласно табелю. - оформление по ГПХ, самозанятости, можно через ИП оформиться на выбор. - Выплаты можно осуществлять как на свою карту, так и на карты родственников/друзей. - Проживание: 3-х комнатная квартира с центральным отоплением, по 2 чел в каждой комнате, суточные выдаются 500 руб в сутки, проезд компенсируем по билету. Но спецодежду не даем, должна быть своя одежда и обувь и лучше бы сменку еще с собой взять, так как непогода может быть в этот сезон.",Обязателен опыт работы именно с такого формата трубами.,"- Выплаты можно осуществлять как на свою карту, так и на карты родственников/друзей. - Проживание: 3-х комнатная квартира с центральным отоплением, по 2 чел в каждой комнате, суточные выдаются 500 руб в сутки, проезд компенсируем по билету. Но спецодежду не даем, должна быть своя одежда и обувь и лучше бы сменку еще с собой взять, так как непогода может быть в этот сезон.",
929,"🔥В связи с развитием компании мы ищем в нашу команду опытного машиниста автовышки АГП!  Об автовышках: — Производитель: Японские, Корейские; — Высота подъема: 15,16,17,18,20,22,25,27,28,30,40,45 метров; — Вид подъемников: телескопические, коленчатые;  🤝Мы ждем от кандидата: — Опыт работы на автовышке или другой спецтехнике (манипулятор, автокран, ямобур, эвакуатор): от 1 года; — Наличие водительского удостоверения категории &quot;С&quot;; — Понимание причин возникновения неисправностей и способов их устранения; — Верно заполненные и вовремя сданные путевые листы.  💰Об условиях работы: — Оплата труда: от 60 000 руб.; — Ежемесячная премия в размере 5 000 руб. помимо оплаты за отработанные часы; — Сезонность: не влияет на количество заявок, простоев нет; — Собственный ремонтный цех со штатными слесарями, который включает в себя: площадь – 600 м2, смотровую яму, комнату отдыха для водителей, душ, шкафы для переодевания; — Собственная выездная бригада слесарей по ремонту ТС на объекте; — Вариативный график работ: 5/2, 6/1, 25/5, также готовы рассмотреть кандидатов для подработки в вечерние смены после 17:00 или в выходные дни (суббота, воскресенье).  🛏Об условиях проживания: — БЕСПЛАТНО предоставляем проживание для иногородних в комфортном общежитии рядом со стоянкой ТС; — Душ, туалет, стиральная машина, сушильная и гладильная комната, кухня, комнаты для проживания до 4-х человек.  Офис находится на: Улица Асланбека Хадарцева  Присоединяйтесь к нашей команде, ЗВОНИТЕ!",— Наличие водительского удостоверения категории &quot;С&quot;; — Понимание причин возникновения неисправностей и способов их устранения; — Верно заполненные и вовремя сданные путевые листы.,"— Ежемесячная премия в размере 5 000 руб. помимо оплаты за отработанные часы; — Сезонность: не влияет на количество заявок, простоев нет; — Собственный ремонтный цех со штатными слесарями, который включает в себя: площадь – 600 м2, смотровую яму, комнату отдыха для водителей, душ, шкафы для переодевания; — Собственная выездная бригада слесарей по ремонту ТС на объекте; — Вариативный график работ: 5/2, 6/1, 25/5, также готовы рассмотреть кандидатов для подработки в вечерние смены после 17:00 или в выходные дни (суббота, воскресенье). 🛏Об условиях проживания: — БЕСПЛАТНО предоставляем проживание для иногородних в комфортном общежитии рядом со стоянкой ТС; — Душ, туалет, стиральная машина, сушильная и гладильная комната, кухня, комнаты для проживания до 4-х человек.",
930,"ООО &quot; СП ВИС-МОС&quot; - компания, выполняющая функции генерального подрядчика на объектах строительства для заказчиков нефтегазовой отрасли.  Должностные обязанности:  — Эксплуатация буровой установки ZJ-30, ZJ-40 в качестве машиниста.   — Участие в выполнении буровых и вспомогательных работ на буровом комплексе.   — Контроль, ремонт, обслуживание буровой установки и вспомогательного оборудования.   — Управление буровой установкой в процессе переездов, передвижек, мобилизацию.   — Обеспечение выполнения сотрудниками рабочей смены планов работ, технологии производства, требований техники безопасности и окружающей среды.  Требования:  — Знание конструкций, принципов устройства и эксплуатации буровых установок.   — Знание правил безопасности в нефтяной и газовой промышленности.   — Опыт работы в качестве машиниста буровой не менее 3-х лет; удостоверение машиниста трактора, катег. А3;   — Опыт работы на буровых установках с талевой системой.  Условия труда:  — График работы: 45/45   — Проезд до места работы и обратно за счет компании   — Питание организовано на объекте за счет компании   — Работа на месторождениях о.Сахалин.","— Знание правил безопасности в нефтяной и газовой промышленности. — Опыт работы в качестве машиниста буровой не менее 3-х лет; удостоверение машиниста трактора, катег.",А3; — Опыт работы на буровых установках с талевой системой. Условия труда:  — График работы: 45/45   — Проезд до места работы и обратно за счет компании   — Питание организовано на объекте за счет компании   — Работа на месторождениях о.Сахалин.,
931,"Описание работодателя: Компания &quot;ЭКО-УФА&quot; специализируется на оперативных управленческих и производственных решениях сортировки, переработки и утилизации твердых бытовых отходов (ТБО) на Полигоне ТБО вблизи поселка Новые Черкассы.  Обязанности: Ремонт и обслуживание оборудования, на территории предприятия! Работа по графику: 3 дня в день, 3 дня – выходных. Рабочая смена «в день» начинается в 8.00 утра, заканчивается в 20.00 вечера (одинадцатичасовой рабочий день). Перерыв на обед 40 минут, два технических перерыва по 20 минут: 10.40 – 11.00 и 16.40-17.00.  Условия: Оформление по ТК РФ. Зарплата выплачивается 2 раза в месяц: аванс и расчет. Доставка вахтовым автобусом осуществляется бесплатно: Черниковка, Инорс,Благовещенск. Уважаемый соискатель! Чтобы добраться до мусоросортировочного завода «Эко-Уфа», вам необходимо с остановки «Колхозный рынок», автобусом номера 111 или 43, направляющегося маршрутом в посёлок Черкассы, доехать до остановки «сады Вишенка». С остановки, направляетесь в сторону вывески жёлтого цвета с надписью Полигон твёрдо-бытовых отходов через проходную на территорию Полигона. Далее, через 200 метров от проходной на территорию Полигона, слева от дороги вы увидите завод «Эко-Уфа». На контрольно-пропускном пункте завода Вам необходимо получить временный пропуск, и пройти в отдел кадров. Звонить в рабочие дни с 9:00 до 17:00!",,"Перерыв на обед 40 минут, два технических перерыва по 20 минут: 10.40 – 11.00 и 16.40-17.00. Условия: Оформление по ТК РФ. Зарплата выплачивается 2 раза в месяц: аванс и расчет. Доставка вахтовым автобусом осуществляется бесплатно: Черниковка, Инорс,Благовещенск. Уважаемый соискатель! Чтобы добраться до мусоросортировочного завода «Эко-Уфа», вам необходимо с остановки «Колхозный рынок», автобусом номера 111 или 43, направляющегося маршрутом в посёлок Черкассы, доехать до остановки «сады Вишенка». С остановки, направляетесь в сторону вывески жёлтого цвета с надписью Полигон твёрдо-бытовых отходов через проходную на территорию Полигона. Далее, через 200 метров от проходной на территорию Полигона, слева от дороги вы увидите завод «Эко-Уфа». На контрольно-пропускном пункте завода Вам необходимо получить временный пропуск, и пройти в отдел кадров. Звонить в рабочие дни с 9:00 до 17:00!",
932,"Описание работодателя: строительство бытовок, беседок. Обязанности:  строительство бытовок, беседок,порядок на территории. Требования: Обучаемость, порядочность. Условия: работа на объектах иногда.",,,
933,"Описание работодателя: База отдыха расположена на берегу р.Волга. Срубовые дома.  Требования: Профессиональные навыки. Мобильность, аккуратность, умение общаться с отдыхающими и в большом рабочем коллективе. Обязанности: обслуживание жилого номерного фонда базы и территории. Условия: График работы 6/1. своевременная выплата з/п,  + 2-х разовое питание,проживание.","Мобильность, аккуратность, умение общаться с отдыхающими и в большом рабочем коллективе.","Условия: График работы 6/1. своевременная выплата з/п,  + 2-х разовое питание,проживание.",
934,"Главная задача компании – эффективная реализация проектов строительства, реконструкции и ремонта объектов и инфраструктуры.  Наша работа основана на: - лучших отечественных традициях и признанных международных практиках; - передовых российских и зарубежных технологиях; - инновационном подходе к организации процессов производства, проектирования, строительства и управления.  Чем нужно будет заниматься:  - Нести ответственность за своевременность и точность подсчета объемов на всех этапах проектной и рабочей документации; - Нести ответственность за безошибочную проверку проектной и рабочей документации для выдачи ее подрядчику; - Составлять АОСР и исполнительные схемы по собственным силам компании; - Вести учет объемов строительно-монтажных работ, формировать накопительные ведомости, подготавливать тендерную документацию; - Рассчитывать объем работ, в т.ч. предоставлять расчётные схемы, формировать ВОР; - Участвовать в подготовке и согласовании технических заданий (ТЗ) со всеми уполномоченными сотрудниками; - Подготавливать формы графика производства работ для подрядчиков - Подготавливать Акт приема-передачи (АПП) РД; - Подготавливать форму Акта на доп. работы. Производить расчёт объемов доп. работ (с предоставление расчетных схем); - Подготавливать форму Акта разграничения объемов работ; - Осуществлять проверку смет подрядчика в части видов и объемов работ (расчет объемов работ с учетом изменений в РД, ТЗ, наличия Акта на доп. работы, Акта разграничения и т.д.); - Формировать папку ЗОС; - Осуществлять прием и проверку ИД на комплектность, корректность заполнение АОСР, наличие всех необходимых паспортов. Формировать архив ИД, вести реестр полученной и переданной ИД; - Передавать ИД по АПП в службу заказчика - Формировать АПП объекта строительства.  Какие навыки и знания необходимы для этого:  - Опыт работы инженером ПТО по прокладке внешних (наружных) сетей водоснабжения и канализации; - Владение AutoCad на уровне опытного пользователя (работа с масштабами, слоями, основными графическими инструментами); - Владение Microsoft Excel на уровне опытного пользователя (работа с отчётами, сводными таблицами, формулами, понимание принципов работы программы); - Чтение проектно-сметной документации по сетям инженерно-технологического обеспечения; - Умение работать с нормативно-технической документацией; - Умение читать и раскрывать сметные расценки (анализ трудозатрат, выборка материалов), предварительно оценивать правильность подобранной расценки; - Умение составлять ведомость объёмов работ на работы, не предусмотренные ПСД; - Знание технологии производства работ и умение читать технологическую последовательность; - Умение писать технически грамотные письма.  Что предоставляем мы:  - График работы 5/2, с 9 до 18.00 либо с 10 до 19.00 - Офис находится в Бизнес центре West park  Очаковское ш. 34,  м.Аминьевская, Озёрная, Мичуринский проспект; - Заработная плата: оклад + премия (сроки сдачи), конечная сумма обговаривается с успешным кандидатом. Не занижаем! - Возможность дальнейшего профессионального  обучения за счёт компании и карьерного роста (ведущий инженер ПТО, руководитель отдела, главный инженер, технический директор по НВК); - Постоянную занятость, без простоев, большое количество постоянных проектов; - Много самостоятельности в принятии решений; - Адекватное руководство и сплоченная команда (нам правда это важно). - Прошу в сопроводительном письме указать ваш опыт или навыки в нашей сфере (НВК, очистные сооружения).","- Владение AutoCad на уровне опытного пользователя (работа с масштабами, слоями, основными графическими инструментами); - Владение Microsoft Excel на уровне опытного пользователя (работа с отчётами, сводными таблицами, формулами, понимание принципов работы программы); - Чтение проектно-сметной документации по сетям инженерно-технологического обеспечения; - Умение работать с нормативно-технической документацией; - Умение читать и раскрывать сметные расценки (анализ трудозатрат, выборка материалов), предварительно оценивать правильность подобранной расценки; - Умение составлять ведомость объёмов работ на работы, не предусмотренные ПСД; - Знание технологии производства работ и умение читать технологическую последовательность; - Умение писать технически грамотные письма.","- Заработная плата: оклад + премия (сроки сдачи), конечная сумма обговаривается с успешным кандидатом. Не занижаем! - Возможность дальнейшего профессионального  обучения за счёт компании и карьерного роста (ведущий инженер ПТО, руководитель отдела, главный инженер, технический директор по НВК); - Постоянную занятость, без простоев, большое количество постоянных проектов; - Много самостоятельности в принятии решений; - Адекватное руководство и сплоченная команда (нам правда это важно). - Прошу в сопроводительном письме указать ваш опыт или навыки в нашей сфере (НВК, очистные сооружения).",
935,Требуются РАБОЧИЕ с  умением ВЯЗКИ АРМАТУРЫ и ОПЫТОМ НА МОНОЛИТНЫХ РАБОТАХ  (без корочек) для работы в г.МОСКВА на строительных объектах.   Условия: • Вахтовый метод работы 60/30; • З/П от 67 090 руб. до 80 290 руб. ЗА МЕСЯЦ; • ОПЛАТА ПРОЕЗДА; • БЕСПЛАТНОЕ проживание; • БЕСПЛАТНОЕ питание; • Выплаты  БЕЗ ЗАДЕРЖЕК ЕЖЕМЕСЯЧНО 15 и 30 числа; • СПЕЦОДЕЖДА и СИЗ ЗА СЧЕТ ОРГАНИЗАЦИИ.,,ЗА МЕСЯЦ; • ОПЛАТА ПРОЕЗДА; • БЕСПЛАТНОЕ проживание; • БЕСПЛАТНОЕ питание; • Выплаты  БЕЗ ЗАДЕРЖЕК ЕЖЕМЕСЯЧНО 15 и 30 числа; • СПЕЦОДЕЖДА и СИЗ ЗА СЧЕТ ОРГАНИЗАЦИИ.,
936,"Работа вахтовым методом в Ярославскую область (40 км от г. Ярославль) на предприятие по производству запчастей для авиации, гражданской продукции требуются инженеры-конструкторы 1-3 категории.   Опыт работы от 1-го года.  Обязанности:   1. Работы по сертификации разработчика, изготовителя, типа. Разработка сертификационного базиса, руководства разработчика, стандартов организации.  2. Разработка ЭД, ТУ, инструкций, документации ОКР,  3. Разработка КД на детали и узлы ДВС. ПО: Т-Flex, NX Simens  4. И другие виды выполняемых работ (по запросу)  Оформление по ТК РФ, график работы 6 дней в неделю по 12 часов в день, стабильная оплата труда.  - проживание в квартирах в пешей доступности от завода  - медосмотр оплачиваем - проходите на месте  - оплата проезда - билетов до 5000 руб",Опыт работы от 1-го года.,"И другие виды выполняемых работ (по запросу)  Оформление по ТК РФ, график работы 6 дней в неделю по 12 часов в день, стабильная оплата труда.  - проживание в квартирах в пешей доступности от завода  - медосмотр оплачиваем - проходите на месте  - оплата проезда - билетов до 5000 руб",
937,"Требования:   — Опыт работы — Документ о квалификации — Запись в ТК  Обязанности:   — Работы по сертификации разработчика, изготовителя, типа. Разработка сертификационного базиса,руководства разработчика, стандартов организации. — Разработка ЭД,ТУ, инструкций, документации ОКР —  Выполнение расчетов( прочночность, тепловые расчеты, газодинамика, акустика, крутильные колебания, рабочие процессы АПД) разработка ТЗ на специспытания (статика, долговечность, термо и тензометрирование, вибрографирование), анализ результатов испытаний. —  Разработка КД на детали и узлы ДВС ПО: T-Flex, NX Simens 5. Компоновка двигателей, разработка и сопровождение моделей, СП, ВО,СБ,ГЧ,МЧ,ВС, схем деления ПО: T-Flex, NX Simens  Условия:   — График работы 6\1 по 11 часов — Проживание бесплатно в 2х-3х комнатной квартире по 2 человека в комнате — Питание за свой счет — Рабочая одежда выдается после 10 отработанных смен — Проезд компенсируется  Вашим персональным менеджером данной вакансии будет - Полина","Требования:   — Опыт работы — Документ о квалификации — Запись в ТК  Обязанности:   — Работы по сертификации разработчика, изготовителя, типа.","Компоновка двигателей, разработка и сопровождение моделей, СП, ВО,СБ,ГЧ,МЧ,ВС, схем деления ПО: T-Flex, NX Simens  Условия:   — График работы 6\1 по 11 часов — Проживание бесплатно в 2х-3х комнатной квартире по 2 человека в комнате — Питание за свой счет — Рабочая одежда выдается после 10 отработанных смен — Проезд компенсируется  Вашим персональным менеджером данной вакансии будет - Полина",
938,"Должностные обязанности: 1. Выполнение пуско-наладочных работ (обслуживание) на объекте заказчика (производственных площадках и опасных объектах) 2. Проработка технического решения, расчёт спецификации и ведомости работ по построению новых систем, настройка и обслуживание существующих систем: - телекоммуникационное оборудование (маршрутизаторы, коммутаторы); - оборудование радиосвязи; - сетевое оборудование (маршрутизаторы, коммутаторы); - АТС; - системы видеонаблюдения; - СКУД; - охранно-пожарные системы; - промышленные контроллеры, АСУТП, SCADA, администрирование операционных систем и сервисов, систем виртуализации (при наличии опыта)  Требования: - Высшее техническое образование; - Знание в совершенстве сетевых технологий (TCP/IP). Наличие сертификатов приветствуется; - Умение программировать. Наличие сертификатов по обучению работы с контроллерами, АСУТП, SCADA приветствуется; - Знание нормативной документации по АПС приветствуется; - Знание норм проектирования, составление исполнительной документации приветствуется; - Отсутствие противопоказаний при работе в электроустановках и на высоте; - Опыт работы инженером связи в эксплуатации или в строительстве не менее 3 лет;  - Знание на уровне опытного пользователя продуктов MS Office(Excel, Word), AutoCAD; - Умение читать, понимать и переводить техническую литературу на английском языке; - Водительские права категории B  Условия: 1) Трудоустройство в соответствии с ТК РФ; 2) Пятидневная рабочая неделя; 3) Испытательный срок 3 месяца; 4) Командировки по РК 5)Полный рабочий день","- Знание в совершенстве сетевых технологий (TCP/IP). Наличие сертификатов приветствуется; - Умение программировать. Наличие сертификатов по обучению работы с контроллерами, АСУТП, SCADA приветствуется; - Знание нормативной документации по АПС приветствуется; - Знание норм проектирования, составление исполнительной документации приветствуется; - Отсутствие противопоказаний при работе в электроустановках и на высоте; - Опыт работы инженером связи в эксплуатации или в строительстве не менее 3 лет; - Знание на уровне опытного пользователя продуктов MS Office(Excel, Word), AutoCAD; - Умение читать, понимать и переводить техническую литературу на английском языке;",2) Пятидневная рабочая неделя; 3) Испытательный срок 3 месяца; 4) Командировки по РК 5)Полный рабочий день,
